Winner,Welo,Belo,turncount,PawnAdv10,KnightAdv10,BishopAdv10,RookAdv10,QueenAdv10,PawnAdv20,KnightAdv20,BishopAdv20,RookAdv20,QueenAdv20,PawnAdv30,KnightAdv30,BishopAdv30,RookAdv30,QueenAdv30,PawnAdv,KnightAdv,BishopAdv,RookAdv,QueenAdv,nool
W,2838,0,43,0,0,0,0,0,-5,-9,8,0,0,-15,-19,18,0,0,-29,-31,29,0,0,
D,2838,2682,111,-1,0,0,0,0,-2,0,0,0,0,-12,0,0,0,0,-94,-57,58,2,-1,
D,2838,2704,33,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,
D,2838,2702,78,0,0,0,0,0,0,0,0,0,0,0,-3,2,0,0,6,-20,20,1,-1,
W,2838,2566,107,0,0,0,0,0,0,0,0,0,0,0,-4,4,0,0,9,-50,51,-1,-1,
W,2838,2698,45,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,-1,2,1,0,-1,
D,2838,2802,94,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-18,30,-36,-20,8,
D,2838,2598,98,0,0,0,0,0,0,0,0,0,0,0,4,-5,0,0,23,111,-112,0,0,
D,2838,2711,72,-1,0,0,0,0,-1,1,0,0,0,-7,1,0,0,0,-3,-6,0,5,-1,
W,2838,0,29,0,0,0,0,0,-9,8,-7,0,0,999,999,999,999,999,-5,18,-16,0,0,
W,2838,2349,85,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,-3,1,0,3,0,
W,2838,0,69,-1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,-2,2,0,0,-1,
W,2838,2610,49,0,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0,11,0,0,1,0,
W,2838,0,59,-1,0,0,0,0,-1,-1,0,0,0,-1,-11,10,0,0,3,-40,39,0,0,
W,2838,2727,75,-1,0,0,0,0,-1,1,0,0,0,-8,0,-1,0,0,-34,0,0,0,0,
W,2838,2621,79,1,0,0,0,0,1,0,0,0,0,1,-7,6,0,-1,23,-15,13,0,-1,
W,2838,2531,94,-1,0,0,0,0,-1,0,0,0,0,-2,1,0,0,0,83,-52,51,-1,0,
W,2838,2546,71,-1,0,0,0,0,-1,0,0,0,0,-2,2,-3,0,0,35,24,-41,0,1,
D,2838,2802,59,1,0,0,0,0,0,-7,6,0,0,0,-17,16,0,0,-9,-35,32,1,1,
D,2831,2656,84,0,0,0,0,0,0,-1,0,0,0,-1,-2,0,0,0,6,-20,16,-1,-1,
W,2831,2484,63,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-9,-9,22,-1,1,
W,2831,2663,73,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-27,0,-1,0,0,
W,2831,2540,52,0,0,0,0,0,0,-5,4,0,0,0,-15,14,0,0,1,-37,36,0,0,
W,2831,2504,43,-3,0,0,0,0,-14,1,1,0,0,-19,2,1,0,0,-19,2,1,0,0,
D,2831,2736,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,1,-1,-1,-1,
D,2831,2722,38,0,0,0,0,0,0,-5,5,0,0,0,-5,5,0,0,0,-5,5,0,0,
W,2831,2484,41,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,11,-9,9,0,-1,
D,2831,2702,106,0,0,0,0,0,-1,0,0,0,0,0,3,-1,0,0,157,58,-57,0,1,
W,2831,2638,81,0,0,0,0,0,-5,0,0,0,0,-5,0,0,0,0,-10,10,-42,35,-1,
W,2831,2578,61,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,4,0,-3,1,
W,2831,2640,61,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-2,-23,22,0,0,
D,2831,2735,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,-16,-1,1,0,
D,2831,2777,87,0,0,0,0,0,1,-1,0,0,0,1,-1,0,0,0,-6,2,0,2,0,
D,2831,2638,71,0,0,0,0,0,-5,0,0,0,0,-5,-1,-1,0,0,-4,-1,-1,0,1,
W,2830,2608,53,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,16,-15,7,-1,0,
W,2830,2732,125,0,-1,0,0,0,0,-11,10,0,0,0,-21,20,0,0,-36,-115,115,-1,1,
W,2830,0,57,0,0,1,0,0,0,0,1,0,0,3,-1,1,0,0,-2,-2,1,0,1,
